"matricula","data_admissao","cargo","mes_referencia","remuneracao_bruta","remuneracao_eventual","beneficios","descontos_legais","remuneracao_liquida"
"173","25/03/1991","AGENTE DE APOIO","2/2018","19641,53","0,00","0,00","6046,34","13595,19"
"193","18/04/1991","AGENTE DE APOIO","2/2018","16473,65","0,00","0,00","4178,68","12294,97"
"210","16/09/1991","AGENTE DE APOIO","2/2018","23246,08","0,00","0,00","7325,05","15921,03"
"388","28/08/2014","AGENTE DE SEGURANÇA LEGISLATIVA I","2/2018","4108,14","0,00","0,00","645,54","3462,60"
"470","30/03/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","2/2018","3550,46","0,00","0,00","390,55","3159,91"
"471","15/04/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","2/2018","3550,46","0,00","0,00","509,74","3040,72"
"473","26/05/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","2/2018","3550,46","0,00","0,00","442,09","3108,37"
"503","06/08/2015","AGENTE DE SEGURANÇA LEGISLATIVA I","2/2018","4012,02","2006,01","0,00","565,25","5452,78"
"283","23/07/1992","AGENTE OPERACIONAL II","2/2018","14860,44","7430,22","0,00","4350,25","17940,41"
"369","01/09/2014","ANALISTA LEGISLATIVO ADMINISTRADOR I","2/2018","11995,24","0,00","0,00","3100,58","8894,66"
"459","13/11/2014","ANALISTA LEGISLATIVO ADMINISTRADOR I","2/2018","8093,57","2697,86","0,00","2061,37","8730,06"
"475","01/06/2015","ANALISTA LEGISLATIVO ADMINISTRADOR I","2/2018","7782,13","0,00","0,00","1891,35","5890,78"
"528","24/05/2016","ANALISTA LEGISLATIVO ADMINISTRADOR I","2/2018","7782,13","0,00","0,00","1891,35","5890,78"
"556","07/12/2017","ANALISTA LEGISLATIVO ADMINISTRADOR I","2/2018","7782,13","0,00","0,00","1734,94","6047,19"
"367","29/08/2014","ANALISTA LEGISLATIVO ARQUITETO I","2/2018","8416,94","0,00","0,00","2116,55","6300,39"
"452","03/11/2014","ANALISTA LEGISLATIVO ARQUITETO I","2/2018","8416,94","0,00","0,00","2116,55","6300,39"
"534","22/08/2016","ANALISTA LEGISLATIVO ARQUIVISTA I","2/2018","7782,13","0,00","0,00","1891,35","5890,78"
