local,latitude,longitude,nome
l1015,-22.911590, -47.058955,FACULDADES INTEGRADAS IPEP - CAMPUS JEQUITIBAS
l1023,-22.898239,-47.055842,Colégio Progresso
l1031,-22.911590, -47.058955,FACULDADES INTEGRADAS IPEP - CAMPUS JEQUITIBAS
l1040,-22.899653,-47.068900,EE PROFESSOR BENEDITO SAMPAIO
l1058,-22.902301,-47.057656,EE CARLOS GOMES
l1066,-22.831879,-47.078708,EE JOSÉ PEDRO DE OLIVEIRA
l1074,-22.923008,-47.038001,EMEF ORLANDO CARPINO
l1082,-22.906055,-47.054802,EE FRANCISCO GLICÉRIO
l1090,-22.906306,-47.068052,EE OROZIMBO MAIA
l1104,-22.857114,-47.155091,EE PROFESSOR MARCELINO VELEZ
l1112,-22.895426,-47.144828,EE PROFESSORA MARIA ISABEL GUIDICE A CAVALCANTI
l1120,-22.888826,-47.122714,EE REVERENDO PROFESSOR JOSE CARLOS NOGUEIRA
l1139,-22.818130,-47.091501,EE PROF HILTON FEDERICI
l1147,-22.882769,-47.112391,EE PROFESSORA LEONOR ZULHKE FALSON
l1155,-22.888622,-47.110001,EE PROFESSOR HILDEBRANDO SIQUEIRA
l1163,-22.905995,-47.054823,EE FRANCISCO GLICÉRIO
l1171,-22.973930,-47.120345,CIMEI PROFESSORA THERMUTIS ARAÚJO MACHADO
l1180,-22.918382,-47.079199,EE SEBASTIÃO RAMOS NOGUEIRA
l1198,-22.909853,-47.109968,EE PROFESSOR CARLOS LENCASTRE
l1201,-22.909948,-47.052253,COLÉGIO DE APLICAÇÃO PIO XII
l1210,-22.934897,-47.033002,EMEF FRANCISCO PONZIO SOBRINHO
l1228,-22.913523,-47.046451,EE PROFESSOR JOSÉ VILLAGELIN NETO
l1236,-22.918397,-47.079178,EE SEBASTIÃO RAMOS NOGUEIRA
l1244,-22.896872,-47.156102,EE ANTONIO CARLOS PACHECO E SILVA
l1252,-22.900602,-47.103745,EMEI BENJAMIN CONSTANT
l1260,-22.890264,-47.062323,SEIAS - INSTITUTO EDUCACIONAL IMACULADA
l1279,-22.927287,-47.124578,EMEF PROFESSORA SYLVIA SIMOES MAGRO
l1287,-22.873177,-47.141614,EM DOUTOR JOAO ALVES DOS SANTOS
l1295,-22.855564,-47.155743,EE PROF MESSIAS GONÇALVES TEIXEIRA 
l1309,-22.929435,-47.121419,EE PROFESSOR ALBERTO MARTINS
l1317,-22.975576,-47.128240,EE PROF NEWTON PIMENTA NEVES
l1325,-22.914719,-47.115160,EMEI PROF HERMINA RICCE
l1333,-22.887226,-47.046316,EE BENTO QUIRINO
l1341,-22.877794,-47.029351,EM LOURENÇO BELLOCHIO
l1350,-22.953668,-47.113192,EE PEDRO SALVETTI NETTO
l1368,-22.975447,-47.128245,EE PROF NEWTON PIMENTA NEVES
l1376,-22.881402,-47.069463,EDUCAÇÃO E CULTURA EDUCAP JÚNIOR LTDA
l1384,-22.897405,-47.080270,EMEI CONEGO MANOEL GARCIA
l1392,-22.973927,-47.120211,CIMEI PROFESSORA THERMUTIS ARAÚJO MACHADO
l1406,-22.986684,-47.150010,EE PROFESSOR PAULO JOSE OCTAVIANO
l1414,-22.955311,-47.092065,EE THEREZINA DA FONSECA PARES
l1422,-22.940823,-47.185007,EMPG PADRE LEÃO VALLERIE
l1430,-22.918775,-47.104695,EE PROF DJALMA OCTAVIANO
l1449,-22.864501,-47.142736,EE JORNALISTA ROBERTO MARINHO
l1457,-22.892477,-47.063162,EE DONA CASTORINA CAVALHEIRO
l1465,-22.888132,-47.087347,COLÉGIO DOCTUS - UNIDADE CHAPADÃO
l1473,-22.907567,-47.038129,SOCIEDADE EDUC SAGRADO CORAÇÃO DE JESUS
l1481,-22.893584,-47.050763,COLÉGIO MADRE CECÍLIA
l1490,-22.946916,-47.024825,EMEF JÚLIO DE MESQUITA FILHO
l1503,-22.852092,-47.038138,EE MOACYR SANTOS DE CAMPOS
l1511,-23.004064,-47.109053,CEMEI JOSÉ FIDELIS
l1520,-23.036606,-47.127995,NAVE MÃE ANÍSIO ESPÍNOLA TEIXEIRA
l1538,-22.824789,-47.081701,EE BARÃO GERALDO DE REZENDE
l1546,-22.953244,-47.090214,CEMEI CATARINA MILANI MANARINI
